WKT,fid,id,@id,access,bridge,fixme,foot,highway,lanes,layer,motorcar,name,name:etymology,name:etymology:wikidata,service,short_name,sidewalk,smoothness,surface,Var_min,Var_max,Var_mean,geometry,start,end,surface_encoded,length
"LINESTRING (121.1124203 14.7045248,121.1124756 14.7045423,121.1125322 14.7045218,121.1126251 14.7045669,121.11266 14.7045792,121.1127237 14.7046014,121.1127671 14.7046146,121.1128189 14.7046263)",109,way/1107013136,way/1107013136,,,,,footway,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1124203 14.7045248, 121.1124756 14.7045423, 121.1125322 14.7045218, 121.1126251 14.7045669, 121.11266 14.7045792, 121.1127237 14.7046014, 121.1127671 14.7046146, 121.1128189 14.7046263)","(121.1124203, 14.7045248)","(121.1128189, 14.7046263)",0,0.00042439924617844406
"LINESTRING (121.110506 14.7004649,121.110483 14.7004597,121.1104669 14.700437,121.1102793 14.699687)",110,way/1107024937,way/1107024937,private,,,,service,1.0,,,,,,driveway,,,intermediate,unknown,1.0,2.0,1.5,"LINESTRING (121.110506 14.7004649, 121.110483 14.7004597, 121.1104669 14.700437, 121.1102793 14.699687)","(121.110506, 14.7004649)","(121.1102793, 14.699687)",0,0.0008245169049684654
"LINESTRING (121.1117729 14.7000988,121.1117424 14.7000627,121.1117041 14.7000365,121.1116542 14.7000201,121.1116025 14.7000076,121.1115556 14.699982,121.1115272 14.6999469,121.1114925 14.6998876)",111,way/1107024950,way/1107024950,,,,,residential,1.0,,,A. Bonifacio Extension,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1117729 14.7000988, 121.1117424 14.7000627, 121.1117041 14.7000365, 121.1116542 14.7000201, 121.1116025 14.7000076, 121.1115556 14.699982, 121.1115272 14.6999469, 121.1114925 14.6998876)","(121.1117729, 14.7000988)","(121.1114925, 14.6998876)",0,0.00036666796477739067
"LINESTRING (121.1126865 14.6994537,121.1125957 14.6993758,121.1124518 14.6993917,121.1123954 14.6993998)",112,way/1107029202,way/1107029202,private,,,,service,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1126865 14.6994537, 121.1125957 14.6993758, 121.1124518 14.6993917, 121.1123954 14.6993998)","(121.1126865, 14.6994537)","(121.1123954, 14.6993998)",0,0.00032139159764045197
"LINESTRING (121.1105879 14.6936352,121.110632 14.6938743,121.110649 14.6941551,121.1106575 14.6945613,121.110695 14.6949448)",113,way/1107228887,way/1107228887,,,,,residential,1.0,,,General Antonio Luna Street,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1105879 14.6936352, 121.110632 14.6938743, 121.110649 14.6941551, 121.1106575 14.6945613, 121.110695 14.6949448)","(121.1105879, 14.6936352)","(121.110695, 14.6949448)",0,0.0013160650615001842
"LINESTRING (121.1106166 14.698019,121.1105824 14.6980491,121.1105378 14.6980871,121.1103369 14.6982875,121.1103104 14.6983212,121.1102892 14.6983575,121.1102577 14.6984088)",114,way/1123244168,way/1123244168,,,,,residential,1.0,,,Jupiter Street,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1106166 14.698019, 121.1105824 14.6980491, 121.1105378 14.6980871, 121.1103369 14.6982875, 121.1103104 14.6983212, 121.1102892 14.6983575, 121.1102577 14.6984088)","(121.1106166, 14.698019)","(121.1102577, 14.6984088)",0,0.0005330222644948919
"LINESTRING (121.1115566 14.6967717,121.1113412 14.6969337)",115,way/1123244169,way/1123244169,,,,,residential,1.0,,,A. Bonifacio Street,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1115566 14.6967717, 121.1113412 14.6969337)","(121.1115566, 14.6967717)","(121.1113412, 14.6969337)",0,0.00026952024042960714
"LINESTRING (121.1102866 14.6977874,121.1105378 14.6980871)",116,way/1123244170,way/1123244170,,,,,residential,1.0,,,General Geronimo Street,,,,Geronimo,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1102866 14.6977874, 121.1105378 14.6980871)","(121.1102866, 14.6977874)","(121.1105378, 14.6980871)",0,0.0003910518252159796
"LINESTRING (121.110695 14.6949448,121.1103304 14.6953972,121.1100474 14.6957797,121.1097824 14.6961291,121.1096077 14.6963431,121.1094489 14.6965606)",117,way/1123244172,way/1123244172,,,,,residential,1.0,,,J. P. Rizal Street,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.110695 14.6949448, 121.1103304 14.6953972, 121.1100474 14.6957797, 121.1097824 14.6961291, 121.1096077 14.6963431, 121.1094489 14.6965606)","(121.110695, 14.6949448)","(121.1094489, 14.6965606)",0,0.0020409249792038937
"LINESTRING (121.1103615 14.699197,121.1103281 14.6992176,121.1102879 14.6992326,121.1098735 14.699322,121.1098051 14.6993395,121.109785 14.6993551,121.1097783 14.6993862,121.1097836 14.6994303,121.1098064 14.6995367,121.1098183 14.6995526)",118,way/1283425173,way/1283425173,private,,,,service,1.0,,no,,,,alley,,,intermediate,unknown,1.0,2.0,1.5,"LINESTRING (121.1103615 14.699197, 121.1103281 14.6992176, 121.1102879 14.6992326, 121.1098735 14.699322, 121.1098051 14.6993395, 121.109785 14.6993551, 121.1097783 14.6993862, 121.1097836 14.6994303, 121.1098064 14.6995367, 121.1098183 14.6995526)","(121.1103615, 14.699197)","(121.1098183, 14.6995526)",0,0.0008070357452281763
"LINESTRING (121.1130983 14.7045185,121.1129588 14.7045789,121.1128762 14.7046315,121.1128523 14.7046301,121.1128189 14.7046263,121.1127156 14.7048234)",119,way/1307282281,way/1307282281,,,,,footway,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1130983 14.7045185, 121.1129588 14.7045789, 121.1128762 14.7046315, 121.1128523 14.7046301, 121.1128189 14.7046263, 121.1127156 14.7048234)","(121.1130983, 14.7045185)","(121.1127156, 14.7048234)",0,0.0005300263660840981
"LINESTRING (121.1134764 14.7048471,121.1135091 14.704831)",120,way/1307282282,way/1307282282,,,,,service,1.0,,,,,,,,,intermediate,unpaved,3.0,3.0,3.0,"LINESTRING (121.1134764 14.7048471, 121.1135091 14.704831)","(121.1134764, 14.7048471)","(121.1135091, 14.704831)",1,3.644859394212714e-05
"LINESTRING (121.1131954 14.7038998,121.1133108 14.7038972)",121,way/1307285143,way/1307285143,,yes,,,path,1.0,1.0,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1131954 14.7038998, 121.1133108 14.7038972)","(121.1131954, 14.7038998)","(121.1133108, 14.7038972)",0,0.00011542928571062468
"LINESTRING (121.1129996 14.7038862,121.1130345 14.7038849,121.1131954 14.7038998)",122,way/1307285144,way/1307285144,,,,,path,1.0,,,,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1129996 14.7038862, 121.1130345 14.7038849, 121.1131954 14.7038998)","(121.1129996, 14.7038862)","(121.1131954, 14.7038998)",0,0.00019651263144525294
"LINESTRING (121.1141715 14.7016839,121.1141147 14.7012535)",123,way/1307289669,way/1307289669,destination,,,,service,1.0,,no,,,,alley,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1141715 14.7016839, 121.1141147 14.7012535)","(121.1141715, 14.7016839)","(121.1141147, 14.7012535)",0,0.00043413177722926975
